,placeCodeParent,placeCode,name
549,ZM5004,ZM050407816,Kabulonga
550,ZM5004,ZM050407501,Nkoloma
551,ZM5004,ZM050407918,Mulungushi
552,ZM1006,ZM010601420,Nganswa
553,ZM5001,ZM050107302,Chinkuli
554,ZM4002,ZM040205607,Fisaka
555,ZM4002,ZM040205811,Chipili
556,ZM8001,ZM090111605,Macha
557,ZM8001,ZM090111515,Batoka
558,ZM9015,ZM100113624,Lwambi
559,ZM9011,ZM100614914,Mushukula
560,ZM9013,ZM100514505,Kambai
561,ZM9004,ZM100414411,Mutondo
562,ZM9010,ZM100614801,Nawinda
563,ZM5003,ZM050307106,Kabowo
564,ZM5003,ZM050307109,Lunya
565,ZM5004,ZM050407710,Kanyama
566,ZM5004,ZM050407606,Kabwata
567,ZM5004,ZM050408024,Muchinga
568,ZM1006,ZM010601417,Kabamba
569,ZM1006,ZM010601313,Lukusanshi
570,ZM5001,ZM050107305,Kanakantapa
571,ZM9014,ZM100213703,Namilangi
572,ZM1111,ZM060608709,Nakonde
573,ZM9015,ZM100113619,Lulangunyi
574,ZM9001,ZM100113625,Nengu
575,ZM9013,ZM100514503,Shekela
576,ZM9004,ZM100414413,Nakanyaa
577,ZM9010,ZM100614803,Lwamuloba
578,ZM5003,ZM050307103,Mandombe
579,ZM9012,ZM100615019,Kalobolelwa
580,ZM5004,ZM050408129,Chainda
581,ZM5004,ZM050407712,Munkolo
582,ZM5004,ZM050407920,Chaisa
583,ZM1006,ZM010601418,Ibolelo
584,ZM5001,ZM050107303,Ntandabale
585,ZM9005,ZM100514615,Lumbe
586,ZM5002,ZM050207001,Chiyaba
587,ZM5002,ZM050207006,Kafue
588,ZM9001,ZM100113504,Salunda
589,ZM9001,ZM100113417,Kandambo
590,ZM9002,ZM100213920,Mangango
591,ZM9002,ZM100213919,Kapili
592,ZM9001,ZM100113627,Mwenyi
593,ZM9011,ZM100614911,Simungoma
594,ZM9013,ZM100514507,Muoyo
595,ZM9004,ZM100414410,Imalyo
596,ZM9004,ZM100414316,Namushakende
597,ZM5003,ZM050307102,Nkaliva
598,ZM5003,ZM050307111,Chikoma
599,ZM9007,ZM100714701,Mambolomoka
600,ZM5004,ZM050407814,Independence
601,ZM5004,ZM050407711,Harry Mwaanga Nkumbula
602,ZM5004,ZM050408131,Kalingalinga
603,ZM1006,ZM010601316,Masaninga
604,ZM5001,ZM050408132,Chakunkula
605,ZM9005,ZM100514610,Imatongo
606,ZM5002,ZM050207003,Malundu
607,ZM9001,ZM100113501,Siluwe
608,ZM9001,ZM100113412,Buleya
609,ZM1119,ZM060208421,Chimpundu
610,ZM9015,ZM100113622,Liumena
611,ZM9011,ZM100614912,Loanja
612,ZM9013,ZM100514506,Katabi
613,ZM9004,ZM100414326,Lealui
614,ZM5003,ZM050307114,Kaunga
615,ZM5003,ZM050307112,Mburuma
616,ZM5004,ZM050407609,Kamulanga
617,ZM5004,ZM050407608,Chilenje
618,ZM5004,ZM050408028,Matero
619,ZM1006,ZM010601312,Chisomo
620,ZM1006,ZM010601314,Sancha
621,ZM5001,ZM050107307,Nakatindi
622,ZM9005,ZM100514613,Lipuwe
623,ZM5002,ZM050207009,Kasenje
624,ZM9001,ZM100113411,Yuka
625,ZM1119,ZM060208420,Ichingo
626,ZM9002,ZM100213916,Namafulo
627,ZM5007,ZM050107411,Mwachilele
628,ZM1002,ZM010200411,Kangomba
629,ZM1002,ZM010200405,Bwacha
630,ZM5008,ZM010500917,Lutondo
631,ZM9003,ZM100314006,Kangoti
632,ZM9004,ZM100414318,Kama
633,ZM5003,ZM050307101,Dzalo
634,ZM5003,ZM050307113,Mwalilia
635,ZM9012,ZM100615020,Imusho
636,ZM5004,ZM050407605,Kamwala
637,ZM5004,ZM050408025,Kapwepwe
638,ZM5004,ZM050407917,Roma
639,ZM5001,ZM050107309,Manyika
640,ZM5001,ZM050107310,Lwimba
641,ZM9005,ZM100514614,Naluywa
642,ZM9001,ZM100113506,Kuuli
643,ZM9001,ZM100113413,Lutiwi
644,ZM1119,ZM060208412,Chamusenga
645,ZM9008,ZM100213812,Lui
646,ZM5007,ZM050107412,Nyangwena
647,ZM1002,ZM010200519,Chirwa
648,ZM1002,ZM010200408,Makululu
649,ZM9003,ZM100314001,Simakumba
650,ZM1003,ZM010300607,Chibwelelo
651,ZM1008,ZM010601202,Mpelembe
652,ZM1111,ZM060608704,Musyani
653,ZM9010,ZM100614802,Kamanga
654,ZM5003,ZM050307104,Phwazi
655,ZM5003,ZM050307110,Katondwe
656,ZM5004,ZM050407504,Lilayi
657,ZM5004,ZM050407813,Silwizya
658,ZM5004,ZM050408026,Lima
659,ZM5004,ZM050408130,Mtendere
660,ZM1006,ZM010601315,Chibale
661,ZM5001,ZM050107308,Lukoshi
662,ZM9005,ZM100514611,Imatanda
663,ZM5002,ZM050207004,Chisankane
664,ZM9001,ZM100113502,Likulundundu
665,ZM9001,ZM100113408,Mapungu
666,ZM1119,ZM060208419,Mwiche
667,ZM9002,ZM100213706,Mulamatila
668,ZM5007,ZM050107413,Bunda Bunda
669,ZM1002,ZM010200414,Munga
670,ZM1002,ZM010200517,Luansase
671,ZM1002,ZM010200523,Highridge
672,ZM5008,ZM010500919,Kalundu
673,ZM9003,ZM100314012,Namayula
674,ZM1118,ZM060501013,Musakanya
675,ZM2010,ZM021003316,Chichele
676,ZM8005,ZM100614805,Mulobezi
677,ZM5003,ZM050307115,Mankhokwe
678,ZM5004,ZM050407815,Lubwa
679,ZM5004,ZM050407502,Chawama
680,ZM5004,ZM050407919,Ngwerere
681,ZM1006,ZM010601421,Lupiya
682,ZM5001,ZM050107306,Chalimbana
683,ZM9014,ZM100213707,Longe
684,ZM5002,ZM050207011,Chikupi
685,ZM9001,ZM100113416,Nguma
686,ZM9001,ZM100113505,Sishekanu
687,ZM9001,ZM100113414,Ndoka
688,ZM1119,ZM060208418,Mayembe
689,ZM9002,ZM100213921,Kanabilumbu
690,ZM1003,ZM010200402,Muwowo East
691,ZM1002,ZM010200521,Justine Kabwe
692,ZM1002,ZM010200520,Njanji
693,ZM9003,ZM100314003,Dongwe
694,ZM9003,ZM100314010,Kawaya
695,ZM1003,ZM010300614,Kapumba
696,ZM9012,ZM100615018,Luampungu
697,ZM5004,ZM050407607,Libala
698,ZM5004,ZM050408133,Munali
699,ZM1008,ZM010601422,Musangashi
700,ZM5001,ZM050107301,Kapwayambale
701,ZM9014,ZM100213705,Litoya
702,ZM5002,ZM050207002,Kambale
703,ZM5005,ZM050207005,Lukolongo
704,ZM9001,ZM100113507,Libonda
705,ZM1119,ZM060208415,Mukumbi
706,ZM1119,ZM060208416,Mwila Kabuswe
707,ZM9002,ZM100213917,Luambuwa
708,ZM5007,ZM050107416,Mankanda
709,ZM1002,ZM010200412,Chinyanja
710,ZM1002,ZM010200526,Nakoli
711,ZM1002,ZM010200406,Kawama
712,ZM9003,ZM100314002,Kamilende
713,ZM2010,ZM021003608,Yengwe
714,ZM9005,ZM100514612,Wanyau
715,ZM9005,ZM100514617,Mata
716,ZM5002,ZM050207010,Muungu
717,ZM9001,ZM100113409,Luanginga
718,ZM1119,ZM060208413,Muchinga
719,ZM9002,ZM100213918,Mushwala
720,ZM5007,ZM050107415,Rufunsa
721,ZM1002,ZM010200415,Chililalila
722,ZM1002,ZM010200410,Zambezi
723,ZM5008,ZM010500918,Chabota
724,ZM9003,ZM100314005,Mwito
725,ZM1003,ZM010300611,Lunchu
726,ZM1003,ZM010300612,Changondo
727,ZM1008,ZM010601309,Kanona
728,ZM9009,ZM100314114,Muyondoti
729,ZM1009,ZM090313011,Basanga
730,ZM9006,ZM100414205,Nangula
731,ZM9005,ZM100514609,Mwanambuyu
732,ZM5002,ZM050207008,Shabusale
733,ZM9001,ZM100113410,Liumba
734,ZM1119,ZM060208422,Nkulungwe
735,ZM1119,ZM060208417,Chibinda
736,ZM9002,ZM100213922,Shikombwe
737,ZM5007,ZM050107414,Nyamanongo
738,ZM1002,ZM010200518,Waya
739,ZM1002,ZM010200524,Kalonga
740,ZM1002,ZM010200409,Moomba
741,ZM5008,ZM010500921,Makombwe
742,ZM9003,ZM100314007,Lukau
743,ZM1003,ZM010300606,Mpunde
744,ZM1008,ZM010601203,Chipundu
745,ZM9009,ZM100314119,Lutembwe
746,ZM1009,ZM090313003,Kaanzwa
747,ZM9006,ZM100414202,Mabili
748,ZM9006,ZM100414201,Limulunga
749,ZM1112,ZM060104015,Mabinga
750,ZM2010,ZM021003607,Nkwazi
751,ZM9002,ZM100213702,Shitwe
752,ZM5007,ZM050107417,Shikabeta
