id,Name,2y,5y,20y,glofasstation
145,G5305_Na,400.79,644.13,959.79,G5305
146,G5317_Mitano_84267,315.58,415.02,544.01,G5317
147,G5326_Na,2111.9,3126.2,4441.92,G5326
148,G5332_Na,393.66,600.66,869.17,G5332
149,G5604_Na,3126.45,4135.54,5444.52,G5604
150,G5607_Na,293.1,422.02,589.26,G5607
151,G5608_Na,329.69,468.21,647.89,G5608
152,G5649_Na,1564.67,1926.13,2395.02,G5649
153,G5651_Na,563.41,823.38,1160.61,G5651
154,G5652_Na,3615.41,4407.74,5435.53,G5652
155,G5653_Na,1137.6,1477.95,1919.45,G5653
156,G5655_Na,746.1,941.64,1195.29,G5655
157,G5656_Na,421.9,606.78,846.59,G5656
158,G5657_Na,635.52,883.93,1206.17,G5657
159,G5658_Na,738.45,1120.08,1615.14,G5658
160,G5660_Na,467.91,798.99,1228.47,G5660
161,G5661_Na,1400.74,2023.6,2831.56,G5661
162,G5662_Na,2646.37,3485.42,4573.82,G5662
163,G5664_Na,295.14,438.63,624.76,G5664
164,G5665_Na,6901.68,8606.04,10816.9,G5665
165,G5669_Liwonde,4136.71,4832.27,5734.54,G5669
166,G5669_X35,4136.71,4832.27,5734.54,G5669
167,G5670_Sinoya_South,531.04,796.54,1140.95,G5670
168,G5670_X36,247.29,380.64,553.63,G5670
169,G5676_Na,4240.95,5720.87,7640.59,G5676
170,G5683_Na,4813.72,6224.52,8054.58,G5683
171,G5694_Chikwawa,4421.88,5311.56,6465.62,G5694
172,G5694_X37,4421.88,5311.56,6465.62,G5694
173,G5696_Na,246.9,433.78,676.2,G5696
174,G5727_Na,873.11,1352.74,1974.89,G5727
175,G6106_Kapelebyong,256.38,345.06,460.09,G6106
176,G6107_Abetlti,1788.34,1954.3,2169.58,G6107
177,G6108_Woltkite,1003.58,1136.9,1309.84,G6108
178,G6109_Asetndabo,422.25,451.41,489.24,G6109
179,G6110_Woltkite,161.32,189.12,225.18,G6110
180,G6111_Shetbe,173.61,217.09,273.49,G6111
181,G6112_Sekta,71.84,79.56,89.57,G6112
182,KEGVS10_X17,60.22,107.85,169.63,KEGVS10
183,KEGVS11_X18,1351.86,1907.23,2627.65,KEGVS11
184,KEGVS12_X19,1524.93,2212.64,3104.73,KEGVS12
185,KEGVS13_X20,74.96,138.51,220.96,KEGVS13
186,KEGVS14_X21,1381.76,2182.67,3221.59,KEGVS14
187,KEGVS15_X22,487.84,803.44,1212.84,KEGVS15
188,KEGVS16_X23,723.82,1025.8,1417.52,KEGVS16
189,KEGVS17_X24,328.06,441.29,588.18,KEGVS17
190,KEGVS18_X25,157.48,222.7,307.31,KEGVS18
191,KEGVS19_X26,529.55,692.14,903.06,KEGVS19
192,KEGVS1_X8,503.04,801.82,1189.4,KEGVS1
193,KEGVS20_X27,1322.03,1546.06,1836.67,KEGVS20
194,KEGVS21_X28,815.18,1131.77,1542.44,KEGVS21
195,KEGVS22_X29,294.82,422.32,587.72,KEGVS22
196,KEGVS23_X30,713.18,1017.72,1412.76,KEGVS23
197,KEGVS2_X9,222.95,423.24,683.05,KEGVS2
198,KEGVS3_X10,201.71,300.61,428.91,KEGVS3
199,KEGVS4_X11,250.9,388.39,566.74,KEGVS4
200,KEGVS5_X12,1425.07,1663.52,1972.83,KEGVS5
201,KEGVS6_X13,1214.16,1505.92,1884.39,KEGVS6
202,KEGVS7_X14,2033.44,2383.09,2836.65,KEGVS7
203,KEGVS8_X15,414.65,687.37,1041.14,KEGVS8
204,KEGVS9_X16,316.25,457.11,639.83,KEGVS9
205,MW01_X38,4113.55,4778.22,5640.4,MW01
206,MW02_X39,159.55,239.07,342.22,MW02
207,MW03_X40,4261.99,5058.06,6090.7,MW03
208,MW04_X41,474.5,614.43,795.94,MW04
209,MW05_X42,311.92,388.71,488.33,MW05
210,MW06_X43,242.29,311.92,402.23,MW06
211,MW07_X44,715.78,896.91,1131.86,MW07
212,MW08_X45,227.77,318.25,435.62,MW08
213,MW09_X46,164.5,243.7,346.44,MW09
214,MW10_X47,407.79,604.4,859.42,MW10
215,MW11_X48,15.81,21.58,29.07,MW11
216,MW12_X49,218.13,332.67,481.25,MW12
217,MW14_X50,149.98,234.87,344.98,MW14
218,MW15_X51,312.05,450.86,630.92,MW15
219,MW16_X52,70.34,100.63,139.94,MW16
220,MW17_X53,898.41,1101.66,1365.31,MW17
221,MW18_X54,715.78,896.91,1131.86,MW18
222,MW19_X55,299.34,410.81,555.41,MW19
223,MW20_X56,114.44,157.75,213.94,MW20
224,MW21_X57,432.16,587.27,788.47,MW21
225,MW22_X58,18.97,25.11,33.06,MW22
226,MW23_X60,729.71,991.7,1331.54,MW23
227,MW24_X61,791.78,1073.01,1437.82,MW24
228,MW25_X62,107.06,161.6,232.36,MW25
