placeName,placeCode,parentCode,glofasStation
TA Kalumbu,MW20610,MW206,no_station
TA Kalumo,MW20304,MW203,no_station
TA Kameme,MW10105,MW101,no_station
TA Kanduku,MW30601,MW306,no_station
TA Kanyenda,MW20201,MW202,no_station
TA Kaomba,MW20105,MW201,no_station
TA Kapelula,MW20113,MW201,no_station
TA Kapeni,MW30501,MW305,no_station
TA Kaphuka,MW20803,MW208,no_station
TA Kapichi,MW30707,MW307,no_station
TA Karonga,MW20502,MW205,no_station
TA Kasakula,MW20301,MW203,no_station
TA Kasisi,MW31006,MW310,no_station
TA Kasumbu,MW20806,MW208,no_station
TA Katuli,MW30107,MW301,no_station
TA Katumbi,MW10408,MW104,no_station
TA Katunga,MW31005,MW310,G5694
TA Kawinga,MW30203,MW302,no_station
TA Khombedza,MW20507,MW205,no_station
TA Khongoni,MW20606,MW206,no_station
TA Kilupula,MW10201,MW102,no_station
TA Kuluunda,MW20509,MW205,no_station
TA Kuntaja,MW30506,MW305,no_station
TA Kunthembwe,MW30504,MW305,no_station
TA Kuntumanji,MW30301,MW303,no_station
TA Kwataine,MW20903,MW209,no_station
TA Kyungu,MW10203,MW102,no_station
TA Likoswe,MW30402,MW304,no_station
TA Liwonde,MW30201,MW302,no_station
TA Lundu,MW30502,MW305,no_station
TA Lundu,MW31002,MW310,G2001
TA M'Mbelwa,MW10501,MW105,no_station
TA Mabuka,MW30801,MW308,no_station
TA Mabulabo,MW10507,MW105,no_station
TA Machinjili,MW30507,MW305,no_station
TA Maganga,MW20501,MW205,no_station
TA Makanjila,MW30108,MW301,no_station
TA Makata,MW30505,MW305,no_station
TA Makhwira,MW31007,MW310,G2001
TA Malemia,MW30307,MW303,no_station
TA Malemia,MW31107,MW311,no_station
TA Malenga Chanzi,MW20203,MW202,no_station
TA Malenga Mzoma,MW10303,MW103,no_station
TA Malili,MW20614,MW206,no_station
TA Mankhambira,MW10306,MW103,no_station
TA Masasa,MW20909,MW209,no_station
TA Maseya,MW31004,MW310,no_station
TA Mazengera,MW20604,MW206,no_station
TA Mkanda,MW20705,MW207,no_station
TA Mkhumba,MW30901,MW309,no_station
