,name,placeCodenew,glofasStation,Level,shapeGroup,placeCode,placeCodeParent1
68,Shiru Ward,KEN-ADM3-25604234B3327786,no_station,ADM3,KEN,KE0382131061,KE038213
69,Gisambai Ward,KEN-ADM3-25604234B13955529,no_station,ADM3,KEN,KE0382131062,KE038213
70,Muhudu Ward,KEN-ADM3-25604234B21384057,no_station,ADM3,KEN,KE0382131065,KE038213
71,Tambua Ward,KEN-ADM3-25604234B74098925,no_station,ADM3,KEN,KE0382131066,KE038213
72,Jepkoyai Ward,KEN-ADM3-25604234B86347961,no_station,ADM3,KEN,KE0382131067,KE038213
73,Luanda South Ward,KEN-ADM3-25604234B5632199,no_station,ADM3,KEN,KE0382141071,KE038214
74,North East Bunyore Ward,KEN-ADM3-25604234B2993770,no_station,ADM3,KEN,KE0382151073,KE038215
75,Banja Ward,KEN-ADM3-25604234B98613588,no_station,ADM3,KEN,KE0382131064,KE038213
76,South Maragoli Ward,KEN-ADM3-25604234B33509971,no_station,ADM3,KEN,KE0382111052,KE038211
77,Shamakhokho Ward,KEN-ADM3-25604234B76677467,no_station,ADM3,KEN,KE0382131063,KE038213
78,Cheptais Ward,KEN-ADM3-25604234B15406008,no_station,ADM3,KEN,KE0392161076,KE039216
79,Kakateny Ward,KEN-ADM3-25604234B41039136,no_station,ADM3,KEN,KE0392161079,KE039216
80,Kaptama Ward,KEN-ADM3-25604234B67296781,no_station,ADM3,KEN,KE0392161080,KE039216
81,Malakisi/south Kulisiru Ward,KEN-ADM3-25604234B92688824,no_station,ADM3,KEN,KE0392171083,KE039217
82,Lwandanyi Ward,KEN-ADM3-25604234B22402354,no_station,ADM3,KEN,KE0392171084,KE039217
83,West Nalondo Ward,KEN-ADM3-25604234B18554104,no_station,ADM3,KEN,KE0392181086,KE039218
84,Mukuyuni Ward,KEN-ADM3-25604234B11230629,no_station,ADM3,KEN,KE0392181088,KE039218
85,Kabula  Ward,KEN-ADM3-25604234B13649850,no_station,ADM3,KEN,KE0392191092,KE039219
86,Kimaeti Ward,KEN-ADM3-25604234B52668244,no_station,ADM3,KEN,KE0392191093,KE039219
87,Siboti Ward,KEN-ADM3-25604234B49923391,no_station,ADM3,KEN,KE0392191095,KE039219
88,Bukembe West Ward,KEN-ADM3-25604234B54811794,no_station,ADM3,KEN,KE0392201096,KE039220
89,Bukembe East Ward,KEN-ADM3-25604234B31963229,no_station,ADM3,KEN,KE0392201097,KE039220
90,Bokoli Ward,KEN-ADM3-25604234B44296136,no_station,ADM3,KEN,KE0392221110,KE039222
91,Kibingei Ward,KEN-ADM3-25604234B36882878,no_station,ADM3,KEN,KE0392231111,KE039223
92,Kimilili Ward,KEN-ADM3-25604234B12385460,no_station,ADM3,KEN,KE0392231112,KE039223
93,Maeni Ward,KEN-ADM3-25604234B65458908,no_station,ADM3,KEN,KE0392231113,KE039223
94,Kamukuywa Ward,KEN-ADM3-25604234B94038048,no_station,ADM3,KEN,KE0392231114,KE039223
95,Mbakalo Ward,KEN-ADM3-25604234B24067850,no_station,ADM3,KEN,KE0392241115,KE039224
96,Naitiri/kabuyefwe Ward,KEN-ADM3-25604234B57709657,no_station,ADM3,KEN,KE0392241116,KE039224
97,Milima Ward,KEN-ADM3-25604234B84510322,no_station,ADM3,KEN,KE0392241117,KE039224
98,Ndalu/ Tabani Ward,KEN-ADM3-25604234B86726238,no_station,ADM3,KEN,KE0392241118,KE039224
99,Tongaren Ward,KEN-ADM3-25604234B55156011,no_station,ADM3,KEN,KE0392241119,KE039224
100,Soysambu/ Mitua Ward,KEN-ADM3-25604234B2077989,no_station,ADM3,KEN,KE0392241120,KE039224
101,Mautuma Ward,KEN-ADM3-25604234B27503796,no_station,ADM3,KEN,KE0371990991,KE037199
102,Lugari Ward,KEN-ADM3-25604234B25121563,no_station,ADM3,KEN,KE0371990992,KE037199
103,Lumakanda Ward,KEN-ADM3-25604234B93850946,no_station,ADM3,KEN,KE0371990993,KE037199
104,Chekalini Ward,KEN-ADM3-25604234B56328639,no_station,ADM3,KEN,KE0371990994,KE037199
105,Chevaywa Ward,KEN-ADM3-25604234B19951460,G5195,ADM3,KEN,KE0371990995,KE037199
106,Lwandeti Ward,KEN-ADM3-25604234B41037508,no_station,ADM3,KEN,KE0371990996,KE037199
107,Likuyani Ward,KEN-ADM3-25604234B2421682,no_station,ADM3,KEN,KE0372000997,KE037200
108,Sango Ward,KEN-ADM3-25604234B38291694,no_station,ADM3,KEN,KE0372000998,KE037200
109,Kongoni Ward,KEN-ADM3-25604234B71743591,no_station,ADM3,KEN,KE0372000999,KE037200
110,Nzoia Ward,KEN-ADM3-25604234B58761574,no_station,ADM3,KEN,KE0372001000,KE037200
111,Sinoko Ward,KEN-ADM3-25604234B24852603,no_station,ADM3,KEN,KE0372001001,KE037200
112,West Kabras Ward,KEN-ADM3-25604234B10322481,no_station,ADM3,KEN,KE0372011002,KE037201
113,Chemuche Ward,KEN-ADM3-25604234B24169143,no_station,ADM3,KEN,KE0372011003,KE037201
114,East Kabras Ward,KEN-ADM3-25604234B34443738,no_station,ADM3,KEN,KE0372011004,KE037201
115,Butali Chegulo Ward,KEN-ADM3-25604234B86521869,no_station,ADM3,KEN,KE0372011005,KE037201
116,Manda-shivanga Ward,KEN-ADM3-25604234B31543007,no_station,ADM3,KEN,KE0372011006,KE037201
117,Shirungu-mugai Ward,KEN-ADM3-25604234B96199303,no_station,ADM3,KEN,KE0372011007,KE037201
118,South Kabras Ward,KEN-ADM3-25604234B46763993,no_station,ADM3,KEN,KE0372011008,KE037201
119,Butsotso East Ward,KEN-ADM3-25604234B24246398,no_station,ADM3,KEN,KE0372021009,KE037202
120,Butsotso South  Ward,KEN-ADM3-25604234B1042510,no_station,ADM3,KEN,KE0372021010,KE037202
121,Butsotso Central Ward,KEN-ADM3-25604234B60007050,no_station,ADM3,KEN,KE0372021011,KE037202
122,Sheywe Ward,KEN-ADM3-25604234B24396296,no_station,ADM3,KEN,KE0372021012,KE037202
123,Mahiakalo Ward,KEN-ADM3-25604234B99694665,no_station,ADM3,KEN,KE0372021013,KE037202
124,Shirere Ward,KEN-ADM3-25604234B73004969,no_station,ADM3,KEN,KE0372021014,KE037202
125,Ingoste-matiha Ward,KEN-ADM3-25604234B26698733,no_station,ADM3,KEN,KE0372031015,KE037203
126,Shinoyi-shikomari-esumeiya War,KEN-ADM3-25604234B99329705,no_station,ADM3,KEN,KE0372031016,KE037203
127,Bunyala West Ward,KEN-ADM3-25604234B7251716,no_station,ADM3,KEN,KE0372031017,KE037203
128,Bunyala East Ward,KEN-ADM3-25604234B85458549,no_station,ADM3,KEN,KE0372031018,KE037203
129,Bunyala Central Ward,KEN-ADM3-25604234B54738219,no_station,ADM3,KEN,KE0372031019,KE037203
130,Mumias Central Ward,KEN-ADM3-25604234B39863434,no_station,ADM3,KEN,KE0372041020,KE037204
131,Kipevu Ward,KEN-ADM3-25604234B86729967,no_station,ADM3,KEN,KE0010010002,KE001001
132,BELGUT,KEN-ADM3-25604234B76011557,no_station,ADM3,KEN,KE0351920961,KE035192
133,Chewani Ward,KEN-ADM3-25604234B56757225,no_station,ADM3,KEN,KE0040190094,KE004019
134,Kinakomba Ward,KEN-ADM3-25604234B3858212,no_station,ADM3,KEN,KE0040190092,KE004019
135,Kanyasa Ward,KEN-ADM3-25604234B94063750,no_station,ADM3,KEN,KE0442581283,KE044258
136,North Kadem Ward,KEN-ADM3-25604234B52746743,no_station,ADM3,KEN,KE0442581284,KE044258
137,Macalder/kanyarwanda Ward,KEN-ADM3-25604234B42679678,no_station,ADM3,KEN,KE0442581285,KE044258
138,Kaler Ward,KEN-ADM3-25604234B29317,no_station,ADM3,KEN,KE0442581286,KE044258
139,Got Kachola Ward,KEN-ADM3-25604234B71834690,no_station,ADM3,KEN,KE0442581287,KE044258
140,Muhuru Ward,KEN-ADM3-25604234B56090646,no_station,ADM3,KEN,KE0442581288,KE044258
141,Bukira East Ward,KEN-ADM3-25604234B95631782,no_station,ADM3,KEN,KE0442591289,KE044259
142,Bukira Central/ikerege Ward,KEN-ADM3-25604234B21756778,no_station,ADM3,KEN,KE0442591290,KE044259
143,Isibania Ward,KEN-ADM3-25604234B83716947,no_station,ADM3,KEN,KE0442591291,KE044259
144,Airport Ward,KEN-ADM3-25604234B20213239,no_station,ADM3,KEN,KE0010010003,KE001001
145,FAZA,KEN-ADM3-25604234B85101450,no_station,ADM3,KEN,KE0050210101,KE005021
146,KIUNGA,KEN-ADM3-25604234B96832218,no_station,ADM3,KEN,KE0050210102,KE005021
147,BASUBA,KEN-ADM3-25604234B25550411,no_station,ADM3,KEN,KE0050210103,KE005021
148,SHELLA,KEN-ADM3-25604234B92087498,no_station,ADM3,KEN,KE0050220104,KE005022
149,MKOMAMI,KEN-ADM3-25604234B50597965,no_station,ADM3,KEN,KE0050220105,KE005022
150,HINDI,KEN-ADM3-25604234B13962731,no_station,ADM3,KEN,KE0050220106,KE005022
151,Bangale Ward,KEN-ADM3-25604234B13465054,no_station,ADM3,KEN,KE0040200098,KE004020
152,Sala Ward,KEN-ADM3-25604234B13978962,no_station,ADM3,KEN,KE0040200099,KE004020
153,HONGWE,KEN-ADM3-25604234B95400129,no_station,ADM3,KEN,KE0050220108,KE005022
154,Lusheya Lubinu Ward,KEN-ADM3-25604234B76243225,no_station,ADM3,KEN,KE0372051024,KE037205
155,Malaha Isongo Makunga Ward,KEN-ADM3-25604234B99821701,no_station,ADM3,KEN,KE0372051025,KE037205
156,East Wanga Ward,KEN-ADM3-25604234B46120601,no_station,ADM3,KEN,KE0372051026,KE037205
157,Koyonzo Ward,KEN-ADM3-25604234B8170960,no_station,ADM3,KEN,KE0372061027,KE037206
158,Kholera Ward,KEN-ADM3-25604234B13158172,no_station,ADM3,KEN,KE0372061028,KE037206
159,Khalaba Ward,KEN-ADM3-25604234B41026715,no_station,ADM3,KEN,KE0372061029,KE037206
160,Chala Ward,KEN-ADM3-25604234B48540960,no_station,ADM3,KEN,KE0060230111,KE006023
161,Mokerero Ward,KEN-ADM3-25604234B1594224,no_station,ADM3,KEN,KE0442591292,KE044259
162,Mata Ward,KEN-ADM3-25604234B54630233,no_station,ADM3,KEN,KE0060230115,KE006023
163,Tagare Ward,KEN-ADM3-25604234B74030560,no_station,ADM3,KEN,KE0442591294,KE044259
164,Wundanyi/mbale Ward,KEN-ADM3-25604234B64110258,no_station,ADM3,KEN,KE0060240116,KE006024
165,Wumingu/kishushe Ward,KEN-ADM3-25604234B89641822,no_station,ADM3,KEN,KE0060240118,KE006024
166,Nyamosense/komosoko Ward,KEN-ADM3-25604234B52602742,no_station,ADM3,KEN,KE0442591295,KE044259
167,Gokeharaka/getambwega Ward,KEN-ADM3-25604234B27939124,no_station,ADM3,KEN,KE0442591296,KE044259
168,Ntimaru East Ward,KEN-ADM3-25604234B43309474,no_station,ADM3,KEN,KE0442601298,KE044260
169,Nyabasi East Ward,KEN-ADM3-25604234B9525972,no_station,ADM3,KEN,KE0442601299,KE044260
170,Nyabasi West Ward,KEN-ADM3-25604234B58895614,no_station,ADM3,KEN,KE0442601300,KE044260
171,East Kamagambo Ward,KEN-ADM3-25604234B33883424,no_station,ADM3,KEN,KE0442531263,KE044253
172,Kivaa Ward,KEN-ADM3-25604234B87841387,no_station,ADM3,KEN,KE0160750371,KE016075
173,Masinga Central Ward,KEN-ADM3-25604234B61631323,no_station,ADM3,KEN,KE0160750372,KE016075
174,Ekalakala Ward,KEN-ADM3-25604234B17622323,no_station,ADM3,KEN,KE0160750373,KE016075
175,Muthesya Ward,KEN-ADM3-25604234B35951212,no_station,ADM3,KEN,KE0160750374,KE016075
176,Mananja Ward,KEN-ADM3-25604234B82238790,no_station,ADM3,KEN,KE0160750375,KE016075
177,Ndalani Ward,KEN-ADM3-25604234B83821646,no_station,ADM3,KEN,KE0160760376,KE016076
178,Matuu Ward,KEN-ADM3-25604234B55915968,no_station,ADM3,KEN,KE0160760377,KE016076
179,Kithimani Ward,KEN-ADM3-25604234B59403285,no_station,ADM3,KEN,KE0160760378,KE016076
180,Ikombe Ward,KEN-ADM3-25604234B89053721,no_station,ADM3,KEN,KE0160760379,KE016076
181,Katangi Ward,KEN-ADM3-25604234B71793609,no_station,ADM3,KEN,KE0160760380,KE016076
182,Kangundo North Ward,KEN-ADM3-25604234B49288346,no_station,ADM3,KEN,KE0160770381,KE016077
183,Kangundo Central Ward,KEN-ADM3-25604234B46040257,no_station,ADM3,KEN,KE0160770382,KE016077
184,Kangundo East Ward,KEN-ADM3-25604234B60903538,no_station,ADM3,KEN,KE0160770383,KE016077
185,Kangundo West Ward,KEN-ADM3-25604234B31576112,no_station,ADM3,KEN,KE0160770384,KE016077
186,Tala Ward,KEN-ADM3-25604234B73949323,no_station,ADM3,KEN,KE0160780385,KE016078
187,Matungulu North Ward,KEN-ADM3-25604234B38305240,no_station,ADM3,KEN,KE0160780386,KE016078
188,Matungulu East Ward,KEN-ADM3-25604234B63198424,no_station,ADM3,KEN,KE0160780387,KE016078
189,Matungulu West Ward,KEN-ADM3-25604234B230185,no_station,ADM3,KEN,KE0160780388,KE016078
190,Kyeleni Ward,KEN-ADM3-25604234B69635192,no_station,ADM3,KEN,KE0160780389,KE016078
191,Mitamboni Ward,KEN-ADM3-25604234B67972225,no_station,ADM3,KEN,KE0160790390,KE016079
192,Kathiani Central Ward,KEN-ADM3-25604234B12582461,no_station,ADM3,KEN,KE0160790391,KE016079
193,Upper Kaewa-iveti Ward,KEN-ADM3-25604234B62666940,no_station,ADM3,KEN,KE0160790392,KE016079
194,Lower Kaewa-kaani Ward,KEN-ADM3-25604234B9748312,no_station,ADM3,KEN,KE0160790393,KE016079
195,Athi River Ward,KEN-ADM3-25604234B94169078,no_station,ADM3,KEN,KE0160800394,KE016080
196,Kinanie Ward,KEN-ADM3-25604234B83420476,no_station,ADM3,KEN,KE0160800395,KE016080
197,Kibiri Ward,KEN-ADM3-25604234B74830696,no_station,ADM3,KEN,KE0432471234,KE043247
198,Wang'chieng Ward,KEN-ADM3-25604234B1198437,no_station,ADM3,KEN,KE0432471235,KE043247
199,Kendu Bay Town Ward,KEN-ADM3-25604234B69175669,no_station,ADM3,KEN,KE0432471236,KE043247
200,West Gem Ward,KEN-ADM3-25604234B15875712,no_station,ADM3,KEN,KE0432481237,KE043248
201,East Gem Ward,KEN-ADM3-25604234B51885638,no_station,ADM3,KEN,KE0432481238,KE043248
202,Homa Bay West Ward,KEN-ADM3-25604234B83093566,no_station,ADM3,KEN,KE0432491243,KE043249
203,Township Ward,KEN-ADM3-25604234B72461170,no_station,ADM3,KEN,KE0070270131,KE007027
204,Kanyamwa Kologi Ward,KEN-ADM3-25604234B91111531,no_station,ADM3,KEN,KE0432501250,KE043250
205,Gembe Ward,KEN-ADM3-25604234B37317376,no_station,ADM3,KEN,KE0432511255,KE043251
206,Lambwe Ward,KEN-ADM3-25604234B30220966,no_station,ADM3,KEN,KE0432511256,KE043251
207,Gwassi South Ward,KEN-ADM3-25604234B1209613,no_station,ADM3,KEN,KE0432521257,KE043252
208,Gwassi North Ward,KEN-ADM3-25604234B39145040,no_station,ADM3,KEN,KE0432521258,KE043252
209,Kaksingiri West Ward,KEN-ADM3-25604234B48574578,no_station,ADM3,KEN,KE0432521259,KE043252
210,Waberi Ward,KEN-ADM3-25604234B91559078,no_station,ADM3,KEN,KE0070270134,KE007027
211,Balambala Ward,KEN-ADM3-25604234B24785211,no_station,ADM3,KEN,KE0070280135,KE007028
212,Danyere Ward,KEN-ADM3-25604234B49836237,no_station,ADM3,KEN,KE0070280136,KE007028
213,Jarajara Ward,KEN-ADM3-25604234B14214795,no_station,ADM3,KEN,KE0070280137,KE007028
214,Saka Ward,KEN-ADM3-25604234B46815647,no_station,ADM3,KEN,KE0070280138,KE007028
215,Sankuri Ward,KEN-ADM3-25604234B84175255,no_station,ADM3,KEN,KE0070280139,KE007028
216,Modogashe Ward,KEN-ADM3-25604234B27198694,no_station,ADM3,KEN,KE0070290140,KE007029
217,Benane Ward,KEN-ADM3-25604234B97957791,no_station,ADM3,KEN,KE0070290141,KE007029
218,Goreale Ward,KEN-ADM3-25604234B40216332,no_station,ADM3,KEN,KE0070290142,KE007029
219,Changamwe Ward,KEN-ADM3-25604234B72523475,no_station,ADM3,KEN,KE0010010004,KE001001
220,Ruma-kaksingiri East Ward,KEN-ADM3-25604234B9655440,no_station,ADM3,KEN,KE0432521260,KE043252
221,Lugaga-wamuluma Ward,KEN-ADM3-25604234B22059029,no_station,ADM3,KEN,KE0382111051,KE038211
222,Central Maragoli Ward,KEN-ADM3-25604234B92232839,no_station,ADM3,KEN,KE0382111053,KE038211
223,Lyaduywa/izava Ward,KEN-ADM3-25604234B3201676,no_station,ADM3,KEN,KE0382121055,KE038212
224,West Sabatia Ward,KEN-ADM3-25604234B70598419,no_station,ADM3,KEN,KE0382121056,KE038212
225,Nanighi Ward,KEN-ADM3-25604234B21353648,no_station,ADM3,KEN,KE0070310156,KE007031
226,Hulugho Ward,KEN-ADM3-25604234B17358437,no_station,ADM3,KEN,KE0070320157,KE007032
227,Sangailu Ward,KEN-ADM3-25604234B62931004,no_station,ADM3,KEN,KE0070320158,KE007032
228,North Maragoli Ward,KEN-ADM3-25604234B33709189,no_station,ADM3,KEN,KE0382121058,KE038212
229,Wodanga Ward,KEN-ADM3-25604234B61896060,no_station,ADM3,KEN,KE0382121059,KE038212
230,Luanda Township Ward,KEN-ADM3-25604234B92195760,no_station,ADM3,KEN,KE0382141068,KE038214
231,Wemilabi Ward,KEN-ADM3-25604234B47720280,no_station,ADM3,KEN,KE0382141069,KE038214
232,Mwibona Ward,KEN-ADM3-25604234B23501144,no_station,ADM3,KEN,KE0382141070,KE038214
233,Malkagufu Ward,KEN-ADM3-25604234B32924555,no_station,ADM3,KEN,KE0080330164,KE008033
234,Batalu Ward,KEN-ADM3-25604234B8853965,no_station,ADM3,KEN,KE0080330165,KE008033
235,Emabungo Ward,KEN-ADM3-25604234B79547959,no_station,ADM3,KEN,KE0382141072,KE038214
236,Godoma Ward,KEN-ADM3-25604234B50175410,no_station,ADM3,KEN,KE0080330167,KE008033
237,Central Bunyore Ward,KEN-ADM3-25604234B53291137,no_station,ADM3,KEN,KE0382151074,KE038215
238,West Bunyore Ward,KEN-ADM3-25604234B28324356,no_station,ADM3,KEN,KE0382151075,KE038215
