placeCode,ADM2_PCODE,name,PROVINCE,glofasStation
ZM080510713,ZM0805,Mufumbwe,North-Western,no_station
ZM080310522,ZM0803,Kabompo,North-Western,G1319
ZM080410617,ZM0804,Kasempa,North-Western,G1323
ZM080410609,ZM0804,Kasempa,North-Western,G1323
ZM080410620,ZM0804,Kasempa,North-Western,G1323
ZM030103708,ZM0301,Chadiza,Eastern,no_station
ZM090412221,ZM0904,Kalomo,Southern,G1352
ZM080510706,ZM0805,Mufumbwe,North-Western,no_station
ZM020502519,ZM0205,Luanshya,Copperbelt,G1312
ZM080510707,ZM0805,Mufumbwe,North-Western,no_station
ZM080510716,ZM0805,Mufumbwe,North-Western,no_station
ZM080310511,ZM0803,Kabompo,North-Western,G1319
ZM080410621,ZM0804,Kasempa,North-Western,G1323
ZM080410607,ZM0804,Kasempa,North-Western,G1323
ZM030103712,ZM0301,Chadiza,Eastern,no_station
ZM030204220,ZM0302,Chipata,Eastern,no_station
ZM030204307,ZM0302,Chipata,Eastern,no_station
ZM090412220,ZM0904,Kalomo,Southern,G1352
ZM090412218,ZM0904,Kalomo,Southern,G1352
ZM091013208,ZM0910,Siavonga,Lusaka,G1352
ZM091113312,ZM0911,Sinazongwe,Southern,G1373
ZM020702904,ZM0207,Masaiti,Copperbelt,no_station
ZM080510710,ZM0805,Mufumbwe,North-Western,no_station
ZM080310520,ZM0803,Kabompo,North-Western,G1319
ZM080310515,ZM0803,Kabompo,North-Western,G1319
ZM080410613,ZM0804,Kasempa,North-Western,G1323
ZM080410602,ZM0804,Kasempa,North-Western,G1323
ZM030103815,ZM0301,Chadiza,Eastern,no_station
ZM030103703,ZM0301,Chadiza,Eastern,no_station
ZM091013210,ZM0910,Siavonga,Lusaka,G1352
ZM080510704,ZM0805,Mufumbwe,North-Western,no_station
ZM080510709,ZM0805,Mufumbwe,North-Western,no_station
ZM080310518,ZM0803,Kabompo,North-Western,G1319
ZM080410619,ZM0804,Kasempa,North-Western,G1323
ZM080410608,ZM0804,Kasempa,North-Western,G1323
ZM080410605,ZM0804,Kasempa,North-Western,G1323
ZM030103707,ZM0301,Chadiza,Eastern,no_station
ZM091113314,ZM0911,Sinazongwe,Southern,G1373
ZM080510701,ZM0805,Mufumbwe,North-Western,no_station
ZM080310521,ZM0803,Kabompo,North-Western,G1319
ZM080310517,ZM0803,Kabompo,North-Western,G1319
ZM080410612,ZM0804,Kasempa,North-Western,G1323
