placeCode,name,glofasStation
ET071014,Bonke,no_station
ET071502,Denba Gofa,no_station
ET040702,Boset,no_station
ET030105,Dabat,no_station
ET070307,Damboya,no_station
ET040809,Chole,no_station
ET030998,Dangila town,no_station
ET042001,Burayu,no_station
ET041604,Dega,no_station
ET030999,Chagni town,no_station
ET041220,Dhas,no_station
ET020106,Chifra,G1053
ET071103,Debub Bench,no_station
ET070911,Bonga town,no_station
ET070117,Bui town,no_station
ET040592,Cobi,no_station
ET030710,Bure (AM),no_station
ET160029,Chabe Gambeltu,no_station
ET010201,Chila,no_station
ET030418,Dessie town,no_station
ET041806,Denbi Dollo town,no_station
ET010506,Dansha town,no_station
ET070908,Decha,no_station
ET060205,Debati,no_station
ET070505,Dila Zuria,no_station
ET050301,Degehamedo,no_station
ET040108,Jarso (West Wellega),no_station
ET040905,Chiro town,no_station
ET030798,Bure town,no_station
ET160035,Chuko town,no_station
ET070110,Cheha,no_station
ET040607,Debre Libanos,no_station
ET150111,Dechatu,no_station
ET030708,Dembecha,no_station
ET160030,Daye town,no_station
ET040495,Botor Tolay,no_station
ET160004,Dale,no_station
ET070609,Damot Sore,no_station
ET050399,Dig,no_station
ET040605,Degem,no_station
ET041211,Dire,no_station
ET050808,Dolobay,no_station
ET041290,Guchi,no_station
ET070612,Duguna Fango,no_station
ET050102,Dembel,no_station
ET031001,Dewa Cheffa,no_station
ET031292,Gendawuha town,no_station
ET120200,Gambela National Park,no_station
ET010219,Emba Sieneti,no_station
ET070213,Gimbichu town,no_station
ET030506,Gishe Rabel,no_station
ET050804,Elkare /Serer,no_station
ET070617,Gesuba town,no_station
ET010203,Edaga arbi,no_station
ET010302,Erob,no_station
ET041804,Gawo Kebe,no_station
ET050290,Goljano,no_station
ET010220,Enticho town,no_station
ET030204,Farta,G4965
ET050304,Gashamo,no_station
ET051006,Dihun,no_station
ET030714,Finote Selam town,no_station
ET040805,Dodota,no_station
ET050598,El-Ogaden,no_station
ET040707,Dugda,no_station
ET010218,Endafelasi,no_station
ET070104,Gedebano Gutazer Welene,no_station
ET030208,East Esite,no_station
ET071008,Dita,no_station
ET040408,Gera,G6111
ET041295,Elwaya,no_station
ET050104,Erer (SM),no_station
ET070207,Duna,no_station
ET030606,Enemay,no_station
ET042008,Dukem,no_station
ET010313,Freweyni town,no_station
ET041706,Gedeb Asasa,no_station
ET041106,Gasera,no_station
ET040119,Guliso,no_station
ET041700,Dodola town,no_station
ET041291,Dubluk,no_station
